gene
Zm00001d043841
Zm00001d035737
Zm00001d000116
Zm00001d045706
Zm00001d025958
Zm00001d004731
Zm00001d051754
Zm00001d023580
Zm00001d017418
Zm00001d005818
Zm00001d026150
Zm00001d010054
Zm00001d038365
Zm00001d042868
Zm00001d038449
Zm00001d038363
Zm00001d002085
Zm00001d024413
Zm00001d024155
Zm00001d047666
Zm00001d021675
Zm00001d014425
Zm00001d034732
Zm00001d040265
Zm00001d038366
Zm00001d042813
Zm00001d010520
Zm00001d014984
Zm00001d010078
Zm00001d011430
Zm00001d044136
Zm00001d007714
Zm00001d049616
Zm00001d041596
Zm00001d013935
Zm00001d007638
Zm00001d048766
Zm00001d043267
Zm00001d038620
Zm00001d017584
Zm00001d038389
Zm00001d048835
Zm00001d020040
Zm00001d008592
Zm00001d038908
Zm00001d032379
Zm00001d043947
Zm00001d005579
Zm00001d011638
Zm00001d024212
Zm00001d030770
Zm00001d002163
Zm00001d043263
Zm00001d023979
Zm00001d018333
Zm00001d024192
Zm00001d029550
Zm00001d037760
Zm00001d036982
Zm00001d045927
Zm00001d051628
Zm00001d024765
Zm00001d005831
Zm00001d020647
Zm00001d034591
Zm00001d012687
Zm00001d006611
Zm00001d030256
Zm00001d030220
Zm00001d033797
Zm00001d013406
Zm00001d040666
Zm00001d009907
Zm00001d020380
Zm00001d042944
Zm00001d010585
Zm00001d009967
Zm00001d047849
Zm00001d008600
Zm00001d018595
Zm00001d028539
Zm00001d020537
Zm00001d018406
Zm00001d031428
Zm00001d016731
Zm00001d028571
Zm00001d028211
Zm00001d053149
Zm00001d003750
Zm00001d022445
Zm00001d032605
Zm00001d032608
Zm00001d019552
Zm00001d004434
Zm00001d007716
Zm00001d000029
Zm00001d000037
Zm00001d000053
Zm00001d000061
Zm00001d000203
Zm00001d000344
Zm00001d001957
Zm00001d002319
Zm00001d002367
Zm00001d002940
Zm00001d003085
Zm00001d003169
Zm00001d003702
Zm00001d003703
Zm00001d003924
Zm00001d003990
Zm00001d004197
Zm00001d004249
Zm00001d004510
Zm00001d004642
Zm00001d004913
Zm00001d004955
Zm00001d005019
Zm00001d005035
Zm00001d005313
Zm00001d005484
Zm00001d005561
Zm00001d005587
Zm00001d005770
Zm00001d005808
Zm00001d005849
Zm00001d005882
Zm00001d005911
Zm00001d005966
Zm00001d006042
Zm00001d006153
Zm00001d006229
Zm00001d006231
Zm00001d006257
Zm00001d006262
Zm00001d006507
Zm00001d006837
Zm00001d006841
Zm00001d007079
Zm00001d007082
Zm00001d007216
Zm00001d007229
Zm00001d007442
Zm00001d007520
Zm00001d007604
Zm00001d007616
Zm00001d007618
Zm00001d007620
Zm00001d007623
Zm00001d007860
Zm00001d008184
Zm00001d008265
Zm00001d008457
Zm00001d008458
Zm00001d008461
Zm00001d008462
Zm00001d008465
Zm00001d008466
Zm00001d008467
Zm00001d008468
Zm00001d008477
Zm00001d008479
Zm00001d008485
Zm00001d008487
Zm00001d008488
Zm00001d008489
Zm00001d008493
Zm00001d008509
Zm00001d008557
Zm00001d008585
Zm00001d008586
Zm00001d008727
Zm00001d008771
Zm00001d008827
Zm00001d009075
Zm00001d009077
Zm00001d009261
Zm00001d009280
Zm00001d009497
Zm00001d009639
Zm00001d009741
Zm00001d009859
Zm00001d009929
Zm00001d010151
Zm00001d010257
Zm00001d010373
Zm00001d010463
Zm00001d010516
Zm00001d010584
Zm00001d010670
Zm00001d010840
Zm00001d010943
Zm00001d011056
Zm00001d011269
Zm00001d011284
Zm00001d011477
Zm00001d011628
Zm00001d011629
Zm00001d011642
Zm00001d011661
Zm00001d011734
Zm00001d011827
Zm00001d011927
Zm00001d012147
Zm00001d012152
Zm00001d012308
Zm00001d012476
Zm00001d012567
Zm00001d012677
Zm00001d012701
Zm00001d012898
Zm00001d013014
Zm00001d013046
Zm00001d013442
Zm00001d013461
Zm00001d013469
Zm00001d013483
Zm00001d013770
Zm00001d013920
Zm00001d013924
