gene,GH,AN,MH,US,sum,max_PBE,max_PBE_pop
Zm00001d007096,1,1,1,1,4,1.61474881710442,AN
Zm00001d007097,1,1,1,1,4,1.61474881710442,AN
Zm00001d007100,1,1,1,1,4,1.61474881710442,AN
Zm00001d049822,1,1,1,1,4,1.61474881710442,AN
Zm00001d015475,1,1,1,1,4,1.61474881710442,AN
Zm00001d045837,1,1,1,1,4,1.61474881710442,AN
Zm00001d029121,1,1,1,1,4,1.6134220972591,MH
Zm00001d029122,1,1,1,1,4,1.6134220972591,MH
Zm00001d029123,1,1,1,1,4,1.6134220972591,MH
Zm00001d029124,1,1,1,1,4,1.6134220972591,MH
Zm00001d032380,1,1,1,1,4,1.6134220972591,MH
Zm00001d032381,1,1,1,1,4,1.6134220972591,MH
Zm00001d032382,1,1,1,1,4,1.6134220972591,MH
Zm00001d033208,1,1,1,1,4,1.6134220972591,MH
Zm00001d033209,1,1,1,1,4,1.6134220972591,MH
Zm00001d033210,1,1,1,1,4,1.6134220972591,MH
Zm00001d034701,1,1,1,1,4,1.6134220972591,MH
Zm00001d039467,1,1,1,1,4,1.6134220972591,MH
Zm00001d013626,1,1,1,1,4,1.6134220972591,MH
Zm00001d013627,1,1,1,1,4,1.6134220972591,MH
Zm00001d014862,1,1,1,1,4,1.6134220972591,MH
Zm00001d014863,1,1,1,1,4,1.6134220972591,MH
Zm00001d017640,1,1,1,1,4,1.6134220972591,MH
Zm00001d037214,1,1,1,1,4,1.6134220972591,MH
Zm00001d045798,1,1,1,1,4,1.6134220972591,MH
Zm00001d045972,1,1,1,1,4,1.6134220972591,MH
Zm00001d003038,1,1,1,1,4,1.58576480422501,US
Zm00001d003039,1,1,1,1,4,1.58576480422501,US
Zm00001d003040,1,1,1,1,4,1.58576480422501,US
Zm00001d041513,1,1,1,1,4,1.58576480422501,US
Zm00001d041514,1,1,1,1,4,1.58576480422501,US
Zm00001d015473,1,1,1,1,4,1.58576480422501,US
Zm00001d015474,1,1,1,1,4,1.58576480422501,US
Zm00001d041004,1,1,1,1,4,1.56511152729365,US
Zm00001d043004,1,1,1,1,4,1.56511152729365,US
